comment_id,video_id,author,comment,like_count
c0100,VID_HI,user_hi_30,यह फिल्म बहुत खराब था समय की बर्बादी 💔,9
c0101,VID_HI,user_hi_31,मुझे यह फिल्म बिल्कुल पसंद नहीं आया बहुत बुरा 😞,10
c0102,VID_HI,user_hi_32,सबसे खराब फिल्म गुणवत्ता बहुत खराब है 😠,11
c0103,VID_HI,user_hi_40,यह रेसिपी बहुत खराब था समय की बर्बादी 😞,12
c0104,VID_HI,user_hi_41,मुझे यह रेसिपी बिल्कुल पसंद नहीं आया बहुत बुरा 😠,13
c0105,VID_HI,user_hi_42,सबसे खराब रेसिपी गुणवत्ता बहुत खराब है 😢,14
c0106,VID_HI,user_hi_50,यह मैच बहुत खराब था समय की बर्बादी 😠,15
c0107,VID_HI,user_hi_51,मुझे यह मैच बिल्कुल पसंद नहीं आया बहुत बुरा 😢,16
c0108,VID_HI,user_hi_52,सबसे खराब मैच गुणवत्ता बहुत खराब है 😡,0
c0109,VID_HI,user_hi_00,यह एक वीडियो है,0
c0110,VID_HI,user_hi_01,आज वीडियो देखा ठीक ठाक था 🙂,1
c0111,VID_HI,user_hi_02,वीडियो औसत है कुछ खास नहीं 😯,2
c0112,VID_HI,user_hi_10,यह एक गाना है 🙂,3
c0113,VID_HI,user_hi_11,आज गाना देखा ठीक ठाक था 😯,4
c0114,VID_HI,user_hi_12,गाना औसत है कुछ खास नहीं,5
c0115,VID_HI,user_hi_20,यह एक ट्यूटोरियल है 😯,6
c0116,VID_HI,user_hi_21,आज ट्यूटोरियल देखा ठीक ठाक था,7
c0117,VID_HI,user_hi_22,ट्यूटोरियल औसत है कुछ खास नहीं,8
c0118,VID_HI,user_hi_30,यह एक फिल्म है,9
c0119,VID_HI,user_hi_31,आज फिल्म देखा ठीक ठाक था,10
c0120,VID_HI,user_hi_32,फिल्म औसत है कुछ खास नहीं 🙂,11
c0121,VID_HI,user_hi_40,यह एक रेसिपी है,12
c0122,VID_HI,user_hi_41,आज रेसिपी देखा ठीक ठाक था 🙂,13
c0123,VID_HI,user_hi_42,रेसिपी औसत है कुछ खास नहीं 😯,14
c0124,VID_HI,user_hi_50,यह एक मैच है 🙂,15
c0125,VID_HI,user_hi_51,आज मैच देखा ठीक ठाक था 😯,16
c0126,VID_HI,user_hi_52,मैच औसत है कुछ खास नहीं,0
c0127,VID_BE,user_be_00,এই ভিডিও টা দারুণ আমি খুব ভালোবেসেছি 😍,0
c0128,VID_BE,user_be_01,খুব সুন্দর ভিডিও আরো বানাও 🔥,1
c0129,VID_BE,user_be_02,সেরা ভিডিও যা দেখেছি অসাধারণ কাজ 👍,2
c0130,VID_BE,user_be_10,এই গান টা দারুণ আমি খুব ভালোবেসেছি 🔥,3
c0131,VID_BE,user_be_11,খুব সুন্দর গান আরো বানাও 👍,4
c0132,VID_BE,user_be_12,সেরা গান যা দেখেছি অসাধারণ কাজ ❤️,5
c0133,VID_BE,user_be_20,এই টিউটোরিয়াল টা দারুণ আমি খুব ভালোবেসেছি 👍,6
c0134,VID_BE,user_be_21,খুব সুন্দর টিউটোরিয়াল আরো বানাও ❤️,7
c0135,VID_BE,user_be_22,সেরা টিউটোরিয়াল যা দেখেছি অসাধারণ কাজ 😀,8
c0136,VID_BE,user_be_30,এই সিনেমা টা দারুণ আমি খুব ভালোবেসেছি ❤️,9
c0137,VID_BE,user_be_31,খুব সুন্দর সিনেমা আরো বানাও 😀,10
c0138,VID_BE,user_be_32,সেরা সিনেমা যা দেখেছি অসাধারণ কাজ 🎉,11
c0139,VID_BE,user_be_40,এই রেসিপি টা দারুণ আমি খুব ভালোবেসেছি 😀,12
c0140,VID_BE,user_be_41,খুব সুন্দর রেসিপি আরো বানাও 🎉,13
c0141,VID_BE,user_be_42,সেরা রেসিপি যা দেখেছি অসাধারণ কাজ 😍,14
c0142,VID_BE,user_be_50,এই ম্যাচ টা দারুণ আমি খুব ভালোবেসেছি 🎉,15
c0143,VID_BE,user_be_51,খুব সুন্দর ম্যাচ আরো বানাও 😍,16
c0144,VID_BE,user_be_52,সেরা ম্যাচ যা দেখেছি অসাধারণ কাজ 🔥,0
c0145,VID_BE,user_be_00,এই ভিডিও টা খুব বাজে সময় নষ্ট 😢,0
c0146,VID_BE,user_be_01,আমি এই ভিডিও টা একদম পছন্দ করিনি খুব খারাপ 😡,1
c0147,VID_BE,user_be_02,সবচেয়ে বাজে ভিডিও মান খুব খারাপ 👎,2
c0148,VID_BE,user_be_10,এই গান টা খুব বাজে সময় নষ্ট 😡,3
c0149,VID_BE,user_be_11,আমি এই গান টা একদম পছন্দ করিনি খুব খারাপ 👎,4
c0150,VID_BE,user_be_12,সবচেয়ে বাজে গান মান খুব খারাপ 💔,5
c0151,VID_BE,user_be_20,এই টিউটোরিয়াল টা খুব বাজে সময় নষ্ট 👎,6
c0152,VID_BE,user_be_21,আমি এই টিউটোরিয়াল টা একদম পছন্দ করিনি খুব খারাপ 💔,7
c0153,VID_BE,user_be_22,সবচেয়ে বাজে টিউটোরিয়াল মান খুব খারাপ 😞,8
c0154,VID_BE,user_be_30,এই সিনেমা টা খুব বাজে সময় নষ্ট 💔,9
c0155,VID_BE,user_be_31,আমি এই সিনেমা টা একদম পছন্দ করিনি খুব খারাপ 😞,10
c0156,VID_BE,user_be_32,সবচেয়ে বাজে সিনেমা মান খুব খারাপ 😠,11
c0157,VID_BE,user_be_40,এই রেসিপি টা খুব বাজে সময় নষ্ট 😞,12
c0158,VID_BE,user_be_41,আমি এই রেসিপি টা একদম পছন্দ করিনি খুব খারাপ 😠,13
c0159,VID_BE,user_be_42,সবচেয়ে বাজে রেসিপি মান খুব খারাপ 😢,14
c0160,VID_BE,user_be_50,এই ম্যাচ টা খুব বাজে সময় নষ্ট 😠,15
c0161,VID_BE,user_be_51,আমি এই ম্যাচ টা একদম পছন্দ করিনি খুব খারাপ 😢,16
c0162,VID_BE,user_be_52,সবচেয়ে বাজে ম্যাচ মান খুব খারাপ 😡,0
c0163,VID_BE,user_be_00,এটা একটা ভিডিও,0
c0164,VID_BE,user_be_01,আজ ভিডিও দেখলাম মোটামুটি ছিল 🙂,1
c0165,VID_BE,user_be_02,ভিডিও টা সাধারণ বিশেষ কিছু নয় 😯,2
c0166,VID_BE,user_be_10,এটা একটা গান 🙂,3
c0167,VID_BE,user_be_11,আজ গান দেখলাম মোটামুটি ছিল 😯,4
c0168,VID_BE,user_be_12,গান টা সাধারণ বিশেষ কিছু নয়,5
c0169,VID_BE,user_be_20,এটা একটা টিউটোরিয়াল 😯,6
c0170,VID_BE,user_be_21,আজ টিউটোরিয়াল দেখলাম মোটামুটি ছিল,7
c0171,VID_BE,user_be_22,টিউটোরিয়াল টা সাধারণ বিশেষ কিছু নয়,8
c0172,VID_BE,user_be_30,এটা একটা সিনেমা,9
c0173,VID_BE,user_be_31,আজ সিনেমা দেখলাম মোটামুটি ছিল,10
c0174,VID_BE,user_be_32,সিনেমা টা সাধারণ বিশেষ কিছু নয় 🙂,11
c0175,VID_BE,user_be_40,এটা একটা রেসিপি,12
c0176,VID_BE,user_be_41,আজ রেসিপি দেখলাম মোটামুটি ছিল 🙂,13
c0177,VID_BE,user_be_42,রেসিপি টা সাধারণ বিশেষ কিছু নয় 😯,14
c0178,VID_BE,user_be_50,এটা একটা ম্যাচ 🙂,15
c0179,VID_BE,user_be_51,আজ ম্যাচ দেখলাম মোটামুটি ছিল 😯,16
c0180,VID_BE,user_be_52,ম্যাচ টা সাধারণ বিশেষ কিছু নয়,0
c0181,VID_CO,user_co_00,This video bahut accha tha मस्त I loved it 😍,0
c0182,VID_CO,user_co_01,Yaar yeh video is superb एकदम zabardast 🔥,1
c0183,VID_CO,user_co_02,Ei video ta darun দারুণ really enjoyed it 👍,2
c0184,VID_CO,user_co_10,This song bahut accha tha मस्त I loved it 🔥,3
c0185,VID_CO,user_co_11,Yaar yeh song is superb एकदम zabardast 👍,4
c0186,VID_CO,user_co_12,Ei song ta darun দারুণ really enjoyed it ❤️,5
c0187,VID_CO,user_co_20,This tutorial bahut accha tha मस्त I loved it 👍,6
c0188,VID_CO,user_co_21,Yaar yeh tutorial is superb एकदम zabardast ❤️,7
c0189,VID_CO,user_co_22,Ei tutorial ta darun দারুণ really enjoyed it 😀,8
c0190,VID_CO,user_co_30,This movie scene bahut accha tha मस्त I loved it ❤️,9
c0191,VID_CO,user_co_31,Yaar yeh movie scene is superb एकदम zabardast 😀,10
c0192,VID_CO,user_co_32,Ei movie scene ta darun দারুণ really enjoyed it 🎉,11
c0193,VID_CO,user_co_40,This recipe bahut accha tha मस्त I loved it 😀,12
c0194,VID_CO,user_co_41,Yaar yeh recipe is superb एकदम zabardast 🎉,13
c0195,VID_CO,user_co_42,Ei recipe ta darun দারুণ really enjoyed it 😍,14
c0196,VID_CO,user_co_50,This match bahut accha tha मस्त I loved it 🎉,15
c0197,VID_CO,user_co_51,Yaar yeh match is superb एकदम zabardast 😍,16
c0198,VID_CO,user_co_52,Ei match ta darun দারুণ really enjoyed it 🔥,0
c0199,VID_CO,user_co_00,This video bilkul bekaar tha बहुत waste of time 😢,0
c0200,VID_CO,user_co_01,Yeh video was so bad मुझे pasand nahi aaya 😡,1
c0201,VID_CO,user_co_02,Ei video ta khub baje খারাপ totally disappointing 👎,2
c0202,VID_CO,user_co_10,This song bilkul bekaar tha बहुत waste of time 😡,3
c0203,VID_CO,user_co_11,Yeh song was so bad मुझे pasand nahi aaya 👎,4
c0204,VID_CO,user_co_12,Ei song ta khub baje খারাপ totally disappointing 💔,5
c0205,VID_CO,user_co_20,This tutorial bilkul bekaar tha बहुत waste of time 👎,6
c0206,VID_CO,user_co_21,Yeh tutorial was so bad मुझे pasand nahi aaya 💔,7
c0207,VID_CO,user_co_22,Ei tutorial ta khub baje খারাপ totally disappointing 😞,8
c0208,VID_CO,user_co_30,This movie scene bilkul bekaar tha बहुत waste of time 💔,9
c0209,VID_CO,user_co_31,Yeh movie scene was so bad मुझे pasand nahi aaya 😞,10
c0210,VID_CO,user_co_32,Ei movie scene ta khub baje খারাপ totally disappointing 😠,11
c0211,VID_CO,user_co_40,This recipe bilkul bekaar tha बहुत waste of time 😞,12
c0212,VID_CO,user_co_41,Yeh recipe was so bad मुझे pasand nahi aaya 😠,13
c0213,VID_CO,user_co_42,Ei recipe ta khub baje খারাপ totally disappointing 😢,14
c0214,VID_CO,user_co_50,This match bilkul bekaar tha बहुत waste of time 😠,15
c0215,VID_CO,user_co_51,Yeh match was so bad मुझे pasand nahi aaya 😢,16
c0216,VID_CO,user_co_52,Ei match ta khub baje খারাপ totally disappointing 😡,0
c0217,VID_CO,user_co_00,Yeh ek video hai ठीक about the topic,0
c0218,VID_CO,user_co_01,Aaj video dekha মোটামুটি it was okay 🙂,1
c0219,VID_CO,user_co_02,Ei video ta average সাধারণ nothing special 😯,2
c0220,VID_CO,user_co_10,Yeh ek song hai ठीक about the topic 🙂,3
c0221,VID_CO,user_co_11,Aaj song dekha মোটামুটি it was okay 😯,4
c0222,VID_CO,user_co_12,Ei song ta average সাধারণ nothing special,5
c0223,VID_CO,user_co_20,Yeh ek tutorial hai ठीक about the topic 😯,6
c0224,VID_CO,user_co_21,Aaj tutorial dekha মোটামুটি it was okay,7
c0225,VID_CO,user_co_22,Ei tutorial ta average সাধারণ nothing special,8
c0226,VID_CO,user_co_30,Yeh ek movie scene hai ठीक about the topic,9
c0227,VID_CO,user_co_31,Aaj movie scene dekha মোটামুটি it was okay,10
c0228,VID_CO,user_co_32,Ei movie scene ta average সাধারণ nothing special 🙂,11
c0229,VID_CO,user_co_40,Yeh ek recipe hai ठीक about the topic,12
c0230,VID_CO,user_co_41,Aaj recipe dekha মোটামুটি it was okay 🙂,13
c0231,VID_CO,user_co_42,Ei recipe ta average সাধারণ nothing special 😯,14
c0232,VID_CO,user_co_50,Yeh ek match hai ठीक about the topic 🙂,15
c0233,VID_CO,user_co_51,Aaj match dekha মোটামুটি it was okay 😯,16
c0234,VID_CO,user_co_52,Ei match ta average সাধারণ nothing special,0
